SimulationTime(s),RTT(us),VehicleCount,PayloadSize(Bytes)
1,3269,3,297
2,784,4,410
3,817,5,514
4,705,6,620
5,698,6,620
6,781,7,722
7,881,8,824
8,867,8,828
9,806,9,932
10,866,10,1033
11,897,11,1126
12,1098,11,1137
13,1054,12,1245
14,1013,13,1338
15,1151,13,1353
16,1240,14,1461
17,1206,14,1456
18,1110,15,1561
19,1227,16,1668
20,1783,17,1763
21,1441,17,1773
22,1921,18,1880
23,1315,19,1993
24,1711,19,1979
25,1355,20,2106
26,1228,20,2085
27,1535,21,2207
28,1425,22,2296
29,1385,23,2405
30,1686,23,2403
31,1552,24,2520
32,1480,25,2601
33,1699,25,2624
34,1513,26,2716
35,1787,27,2813
36,1556,27,2832
37,1470,28,2918
38,2061,29,3033
39,1622,29,3026
40,1875,30,3146
41,1802,30,3131
42,1802,31,3231
43,1784,32,3354
44,1805,32,3342
45,1829,33,3462
46,2207,34,3552
47,1946,34,3547
48,2358,35,3646
49,2066,36,3750
50,2036,36,3768
51,2197,37,3852
52,2355,38,3979
53,2589,38,3956
54,2151,39,4062
55,2895,40,4181
56,2468,40,4154
57,2434,41,4285
58,2670,42,4371
59,2443,42,4368
60,2358,43,4483
61,2547,44,4571
62,2454,44,4597
63,2406,45,4681
64,2809,46,4777
65,2675,46,4793
66,2647,47,4882
67,2754,48,5002
68,2436,48,4983
69,2509,49,5116
70,3231,50,5186
71,2911,50,5180
72,2819,51,5310
73,2569,52,5385
74,3165,52,5420
75,3115,53,5500
76,3246,53,5500
77,2979,54,5622
78,3376,55,5716
79,2814,55,5730
80,3115,56,5816
81,3085,56,5814
82,3211,57,5936
83,3161,58,6017
84,3131,58,6038
85,3308,59,6134
86,3286,59,6141
87,3019,60,6230
88,3348,61,6325
89,3217,61,6358
90,3088,62,6442
91,3419,62,6455
92,3405,63,6540
93,3105,64,6649
94,3511,64,6664
95,3497,65,6752
96,3349,65,6759
97,3709,66,6852
98,3390,67,6951
99,3409,67,6966
100,4049,68,7059
101,3511,68,7075
102,3589,69,7170
103,3479,70,7276
104,3557,70,7274
105,3537,71,7369
106,3746,71,7388
107,3978,72,7478
108,3895,73,7588
109,3638,73,7570
110,3619,74,7679
111,4008,74,7700
112,3854,75,7785
113,4019,76,7904
114,3902,76,7892
115,3794,77,7989
116,3993,77,8016
117,4086,78,8095
118,4089,79,8201
119,4096,79,8205
120,3892,80,8324
121,4517,80,8314
122,4368,81,8407
123,4106,81,8433
124,4901,82,8508
125,4393,83,8626
126,4432,83,8618
127,4239,84,8717
128,4623,84,8740
129,4369,85,8818
130,4342,86,8944
131,4608,86,8928
132,4418,87,9027
133,4651,87,9050
134,4498,88,9125
135,4980,89,9252
136,5267,89,9232
137,5448,90,9350
138,5562,90,9344
139,5695,91,9435
140,4962,92,9547
141,4953,92,9538
142,5262,93,9654
143,5660,93,9644
144,5000,94,9749
145,5150,94,9770
146,5795,95,9854
147,6010,96,9980
148,5637,96,9956
149,6088,97,10063
150,5795,97,10083
151,5505,98,10213
152,5337,99,10341
153,6031,99,10271
154,5983,100,10437
155,5629,100,10419
156,6122,101,10526
157,5989,102,10586
158,6166,102,10626
159,6278,103,10692
160,6117,103,10733
161,6142,104,10782
162,6556,104,10855
163,6331,105,10934
164,7386,106,11062
165,6717,106,10994
166,6909,107,11103
167,7647,107,11122
168,7861,108,11247
169,7102,109,11423
170,5887,109,11358
171,7903,110,11484
172,9669,110,11460
173,8484,111,11573
174,8224,112,11679
175,8270,112,11681
176,8157,113,11787
177,8305,113,11782
178,8315,114,11873
179,6437,114,11909
180,7219,115,11979
181,6175,116,12104
182,7763,116,12091
183,6370,117,12137
184,6389,117,12213
185,6224,118,12254
186,6266,119,12384
187,6073,119,12361
188,6161,120,12569
189,5873,120,12554
190,6066,121,12608
191,6119,122,12734
192,6141,122,12717
193,6363,123,12841
194,11235,123,12829
195,6560,124,12876
196,6366,124,12950
197,6476,125,12993
198,7126,126,13113
