20,0.475668
20,0.307456
20,0.200624
20,0.202601
20,0.189123
100,0.684419
100,0.58121
100,0.581659
100,0.594437
100,0.565237
200,1.69088
200,1.77428
200,1.5971
200,1.63992
200,1.53697
400,5.04695
400,5.06154
400,5.20822
400,5.5389
400,5.17925
600,9.28821
600,9.43485
600,9.9481
600,10.3922
600,9.4794
800,14.7613
800,14.5828
800,17.1775
800,14.6965
800,14.3304
1000,18.6091
1000,19.4249
1000,19.672
1000,19.4587
1000,19.3903
1200,24.2494
1200,24.5964
1200,25.3114
1200,26.7502
1200,26.7219
1400,30.7503
1400,30.7469
1400,28.6183
1400,28.9025
1400,29.0405
1600,32.1892
1600,33.1487
1600,32.0362
1600,31.6565
1600,35.5913
