Time,VehicleID,OMNeT_X,OMNeT_Y,OMNeT_Z,Speed,Acceleration,Length,Width,Height,Signals,Type
1,flow0.0,646845,5.49E+06,0,13.986,0.341189,2.5,1.8,1.5,0,vtype0
2,flow0.0,646835,5.49E+06,0,13.9191,-0.181593,2.5,1.8,1.5,2,vtype0
3,flow0.0,646825,5.49E+06,0,13.9161,-0.636662,2.5,1.8,1.5,2,vtype0
4,flow0.0,646816,5.49E+06,0,13.9043,0.0854931,2.5,1.8,1.5,2,vtype0
4,flow0.1,646845,5.49E+06,0,13.9199,-0.337196,2.5,1.8,1.5,0,vtype0
5,flow0.0,646806,5.49E+06,0,13.9127,-0.540404,2.5,1.8,1.5,2,vtype0
5,flow0.1,646835,5.49E+06,0,13.9038,0.0620736,2.5,1.8,1.5,2,vtype0
6,flow0.0,646796,5.49E+06,0,13.8714,-0.758254,2.5,1.8,1.5,2,vtype0
6,flow0.1,646825,5.49E+06,0,13.9525,0.448393,2.5,1.8,1.5,2,vtype0
7,flow0.0,646786,5.49E+06,0,13.957,-0.10644,2.5,1.8,1.5,2,vtype0
7,flow0.1,646816,5.49E+06,0,13.9272,-0.48226,2.5,1.8,1.5,2,vtype0
7,flow0.2,646845,5.49E+06,0,13.8903,-0.583057,2.5,1.8,1.5,0,vtype0
8,flow0.0,646777,5.49E+06,0,13.9924,0.526595,2.5,1.8,1.5,2,vtype0
8,flow0.1,646806,5.49E+06,0,13.947,0.383913,2.5,1.8,1.5,2,vtype0
8,flow0.2,646835,5.49E+06,0,13.975,0.250665,2.5,1.8,1.5,2,vtype0
9,flow0.0,646774,5.49E+06,0,13.9901,-0.0372135,2.5,1.8,1.5,0,vtype0
9,flow0.1,646796,5.49E+06,0,13.8902,-0.239743,2.5,1.8,1.5,2,vtype0
9,flow0.2,646825,5.49E+06,0,13.9156,-0.432766,2.5,1.8,1.5,2,vtype0
10,flow0.0,646782,5.49E+06,0,13.8841,0.081746,2.5,1.8,1.5,0,vtype0
10,flow0.1,646786,5.49E+06,0,13.9641,-0.327391,2.5,1.8,1.5,2,vtype0
10,flow0.2,646816,5.49E+06,0,13.8964,0.0407572,2.5,1.8,1.5,2,vtype0
10,flow0.3,646845,5.49E+06,0,13.9837,0.749234,2.5,1.8,1.5,0,vtype0
11,flow0.0,646793,5.49E+06,0,13.9326,0.200661,2.5,1.8,1.5,0,vtype0
11,flow0.1,646777,5.49E+06,0,13.9944,1.12679,2.5,1.8,1.5,2,vtype0
11,flow0.2,646806,5.49E+06,0,13.9631,0.277479,2.5,1.8,1.5,2,vtype0
11,flow0.3,646835,5.49E+06,0,13.8938,-0.182222,2.5,1.8,1.5,2,vtype0
12,flow0.0,646804,5.49E+06,0,13.8982,-0.0620572,2.5,1.8,1.5,0,vtype0
12,flow0.1,646774,5.49E+06,0,13.9585,-0.325023,2.5,1.8,1.5,0,vtype0
12,flow0.2,646796,5.49E+06,0,13.9608,-0.0323426,2.5,1.8,1.5,2,vtype0
12,flow0.3,646825,5.49E+06,0,13.9636,0.865763,2.5,1.8,1.5,2,vtype0
13,flow0.0,646818,5.49E+06,0,13.9669,-0.0202641,2.5,1.8,1.5,0,vtype0
13,flow0.1,646782,5.49E+06,0,13.9646,0.263215,2.5,1.8,1.5,0,vtype0
13,flow0.2,646786,5.49E+06,0,13.8728,-0.71499,2.5,1.8,1.5,2,vtype0
13,flow0.3,646816,5.49E+06,0,13.9541,-0.167405,2.5,1.8,1.5,2,vtype0
13,flow0.4,646846,5.49E+06,0,12.1899,0.0560921,2.5,1.8,1.5,0,vtype0
14,flow0.0,646832,5.49E+06,0,13.901,-0.430016,2.5,1.8,1.5,1,vtype0
14,flow0.1,646793,5.49E+06,0,13.9411,0.41185,2.5,1.8,1.5,0,vtype0
14,flow0.2,646777,5.49E+06,0,13.9654,0.799532,2.5,1.8,1.5,2,vtype0
14,flow0.3,646806,5.49E+06,0,13.8929,-0.738319,2.5,1.8,1.5,2,vtype0
14,flow0.4,646838,5.49E+06,0,12.2478,0.066743,2.5,1.8,1.5,0,vtype0
15,flow0.0,646845,5.49E+06,0,13.9126,-0.821293,2.5,1.8,1.5,1,vtype0
15,flow0.1,646804,5.49E+06,0,13.9585,0.232024,2.5,1.8,1.5,0,vtype0
15,flow0.2,646774,5.49E+06,0,13.9059,0.0626981,2.5,1.8,1.5,0,vtype0
15,flow0.3,646796,5.49E+06,0,13.9287,-0.362254,2.5,1.8,1.5,2,vtype0
15,flow0.4,646829,5.49E+06,0,12.1756,-0.609319,2.5,1.8,1.5,0,vtype0
16,flow0.0,646857,5.49E+06,0,9.5465,-4.5,2.5,1.8,1.5,9,vtype0
16,flow0.1,646818,5.49E+06,0,13.9884,0.457936,2.5,1.8,1.5,0,vtype0
16,flow0.2,646782,5.49E+06,0,13.9336,-0.235865,2.5,1.8,1.5,0,vtype0
16,flow0.3,646786,5.49E+06,0,13.9843,0.427605,2.5,1.8,1.5,2,vtype0
16,flow0.4,646820,5.49E+06,0,12.2474,0.356349,2.5,1.8,1.5,2,vtype0
16,flow0.5,646845,5.49E+06,0,13.9731,0.0194724,2.5,1.8,1.5,0,vtype0
17,flow0.0,646864,5.49E+06,0,7.1765,2.6,2.5,1.8,1.5,1,vtype0
17,flow0.1,646832,5.49E+06,0,13.5982,-0.207247,2.5,1.8,1.5,1,vtype0
17,flow0.2,646793,5.49E+06,0,13.9586,-0.350399,2.5,1.8,1.5,0,vtype0
17,flow0.3,646777,5.49E+06,0,13.9766,0.500651,2.5,1.8,1.5,2,vtype0
17,flow0.4,646812,5.49E+06,0,12.2519,0.697705,2.5,1.8,1.5,2,vtype0
17,flow0.5,646835,5.49E+06,0,13.9056,0.0870689,2.5,1.8,1.5,2,vtype0
18,flow0.0,646871,5.49E+06,0,9.335,2.38725,2.5,1.8,1.5,0,vtype0
18,flow0.1,646845,5.49E+06,0,13.2189,0.0925216,2.5,1.8,1.5,1,vtype0
18,flow0.2,646804,5.49E+06,0,13.9222,-0.393638,2.5,1.8,1.5,0,vtype0
18,flow0.3,646774,5.49E+06,0,13.96,0.498837,2.5,1.8,1.5,0,vtype0
18,flow0.4,646803,5.49E+06,0,12.2118,0.515955,2.5,1.8,1.5,2,vtype0
18,flow0.5,646825,5.49E+06,0,13.9829,0.11324,2.5,1.8,1.5,2,vtype0
19,flow0.0,646872,5.49E+06,0,11.5789,2.40214,2.5,1.8,1.5,0,vtype0
19,flow0.1,646856,5.49E+06,0,9.76531,-4.5,2.5,1.8,1.5,9,vtype0
19,flow0.2,646818,5.49E+06,0,13.8978,0.0232689,2.5,1.8,1.5,0,vtype0
19,flow0.3,646783,5.49E+06,0,13.9745,0.998095,2.5,1.8,1.5,0,vtype0
19,flow0.4,646795,5.49E+06,0,12.1462,-0.489305,2.5,1.8,1.5,2,vtype0
19,flow0.5,646816,5.49E+06,0,13.9234,0.340459,2.5,1.8,1.5,2,vtype0
19,flow0.6,646846,5.49E+06,0,13.0455,0.341443,2.5,1.8,1.5,0,vtype0
20,flow0.0,646874,5.49E+06,0,13.3969,2.0289,2.5,1.8,1.5,0,vtype0
20,flow0.1,646864,5.49E+06,0,6.72207,2.6,2.5,1.8,1.5,1,vtype0
20,flow0.2,646831,5.49E+06,0,13.3394,-0.808873,2.5,1.8,1.5,1,vtype0
20,flow0.3,646793,5.49E+06,0,13.8791,-0.540984,2.5,1.8,1.5,0,vtype0
20,flow0.4,646786,5.49E+06,0,12.1917,-0.44115,2.5,1.8,1.5,2,vtype0
20,flow0.5,646806,5.49E+06,0,13.9721,0.953798,2.5,1.8,1.5,2,vtype0
20,flow0.6,646836,5.49E+06,0,13.1311,0.727333,2.5,1.8,1.5,0,vtype0
21,flow0.0,646876,5.49E+06,0,13.9618,0.799809,2.5,1.8,1.5,0,vtype0
21,flow0.1,646871,5.49E+06,0,8.67706,1.31072,2.5,1.8,1.5,0,vtype0
21,flow0.2,646844,5.49E+06,0,12.8465,-0.397123,2.5,1.8,1.5,1,vtype0
21,flow0.3,646804,5.49E+06,0,13.9564,0.575215,2.5,1.8,1.5,0,vtype0
21,flow0.4,646778,5.49E+06,0,12.2159,0.15252,2.5,1.8,1.5,2,vtype0
21,flow0.5,646796,5.49E+06,0,13.891,-0.316532,2.5,1.8,1.5,2,vtype0
21,flow0.6,646827,5.49E+06,0,13.0491,0.134058,2.5,1.8,1.5,2,vtype0
22,flow0.0,646878,5.49E+06,0,13.9795,0.84077,2.5,1.8,1.5,0,vtype0
22,flow0.1,646872,5.49E+06,0,10.5449,2.45254,2.5,1.8,1.5,0,vtype0
22,flow0.2,646856,5.49E+06,0,9.94154,-4.5,2.5,1.8,1.5,9,vtype0
22,flow0.3,646818,5.49E+06,0,13.948,-0.410769,2.5,1.8,1.5,0,vtype0
22,flow0.4,646774,5.49E+06,0,12.2354,0.987332,2.5,1.8,1.5,2,vtype0
22,flow0.5,646786,5.49E+06,0,13.8713,-1.27315,2.5,1.8,1.5,2,vtype0
22,flow0.6,646818,5.49E+06,0,13.0886,-0.362066,2.5,1.8,1.5,2,vtype0
22,flow0.7,646847,5.49E+06,0,10.5064,-0.3893,2.5,1.8,1.5,0,vtype0
23,flow0.0,646879,5.49E+06,0,13.9667,0.890382,2.5,1.8,1.5,0,vtype0
23,flow0.1,646874,5.49E+06,0,12.652,1.4754,2.5,1.8,1.5,0,vtype0
23,flow0.2,646864,5.49E+06,0,6.89741,2.6,2.5,1.8,1.5,1,vtype0
23,flow0.3,646831,5.49E+06,0,13.2653,-0.787548,2.5,1.8,1.5,1,vtype0
23,flow0.4,646779,5.49E+06,0,12.2194,0.351936,2.5,1.8,1.5,0,vtype0
23,flow0.5,646777,5.49E+06,0,13.6663,-1.12807,2.5,1.8,1.5,2,vtype0
23,flow0.6,646809,5.49E+06,0,13.0062,-0.0610671,2.5,1.8,1.5,2,vtype0
23,flow0.7,646840,5.49E+06,0,10.562,-0.489256,2.5,1.8,1.5,0,vtype0
24,flow0.0,646880,5.49E+06,0,13.9514,-0.158225,2.5,1.8,1.5,0,vtype0
24,flow0.1,646876,5.49E+06,0,13.9738,0.690953,2.5,1.8,1.5,0,vtype0
24,flow0.2,646871,5.49E+06,0,9.18698,2.02771,2.5,1.8,1.5,0,vtype0
24,flow0.3,646845,5.49E+06,0,13.0616,0.791488,2.5,1.8,1.5,1,vtype0
24,flow0.4,646788,5.49E+06,0,12.1406,-0.342113,2.5,1.8,1.5,0,vtype0
24,flow0.5,646774,5.49E+06,0,13.3739,-0.655257,2.5,1.8,1.5,0,vtype0
24,flow0.6,646800,5.49E+06,0,13.0244,-0.24783,2.5,1.8,1.5,2,vtype0
24,flow0.7,646832,5.49E+06,0,10.595,0.944706,2.5,1.8,1.5,0,vtype0
25,flow0.0,646881,5.49E+06,0,13.9861,0.797401,2.5,1.8,1.5,0,vtype0
25,flow0.1,646878,5.49E+06,0,13.9312,0.515382,2.5,1.8,1.5,0,vtype0
25,flow0.2,646872,5.49E+06,0,10.9836,1.31122,2.5,1.8,1.5,0,vtype0
25,flow0.3,646856,5.49E+06,0,9.87874,-4.5,2.5,1.8,1.5,9,vtype0
25,flow0.4,646797,5.49E+06,0,12.2274,0.515097,2.5,1.8,1.5,0,vtype0
25,flow0.5,646781,5.49E+06,0,13.0831,-0.605308,2.5,1.8,1.5,0,vtype0
25,flow0.6,646791,5.49E+06,0,13.0094,-0.401549,2.5,1.8,1.5,2,vtype0
25,flow0.7,646825,5.49E+06,0,10.5747,0.869926,2.5,1.8,1.5,0,vtype0
25,flow0.8,646845,5.49E+06,0,13.9816,0.914387,2.5,1.8,1.5,0,vtype0
26,flow0.0,646882,5.49E+06,0,13.8858,-0.938118,2.5,1.8,1.5,0,vtype0
26,flow0.1,646879,5.49E+06,0,13.8812,-0.665124,2.5,1.8,1.5,0,vtype0
26,flow0.2,646874,5.49E+06,0,12.7659,2.00797,2.5,1.8,1.5,0,vtype0
26,flow0.3,646864,5.49E+06,0,6.81694,2.6,2.5,1.8,1.5,1,vtype0
26,flow0.4,646808,5.49E+06,0,12.2616,1.04436,2.5,1.8,1.5,0,vtype0
26,flow0.5,646791,5.49E+06,0,12.8008,-1.27959,2.5,1.8,1.5,0,vtype0
26,flow0.6,646782,5.49E+06,0,13.0323,-0.983483,2.5,1.8,1.5,2,vtype0
26,flow0.7,646818,5.49E+06,0,10.5278,-0.723678,2.5,1.8,1.5,2,vtype0
26,flow0.8,646835,5.49E+06,0,13.363,-0.0130928,2.5,1.8,1.5,2,vtype0
27,flow0.0,646883,5.49E+06,0,13.9031,-0.263062,2.5,1.8,1.5,0,vtype0
27,flow0.1,646880,5.49E+06,0,13.9127,-0.615913,2.5,1.8,1.5,0,vtype0
27,flow0.2,646876,5.49E+06,0,13.9649,0.450385,2.5,1.8,1.5,0,vtype0
