SimulationTime(s),RTT(us),VehicleCount,PayloadSize(Bytes)
403,5649,88,9203
404,4718,88,9205
405,4439,88,9183
406,5126,88,9169
407,4383,88,9230
408,4118,87,9080
409,4319,88,9227
410,4032,88,9230
411,4749,88,9200
412,5538,89,9295
413,4984,89,9336
414,4806,89,9298
415,4558,90,9403
416,4371,90,9426
417,4178,90,9406
418,4699,91,9543
419,5840,90,9497
420,4471,90,9447
421,4810,90,9447
422,4822,90,9448
423,4799,89,9359
424,4584,89,9339
425,4569,89,9307
426,4529,88,9274
427,5492,89,9355
428,5331,88,9255
429,4534,88,9253
430,4843,88,9200
431,4349,88,9244
432,4129,88,9250
433,4164,88,9251
434,4095,88,9263
435,4625,88,9192
436,4864,89,9347
437,4852,88,9267
438,4657,88,9196
439,10656,89,9379
440,4264,88,9252
441,4188,88,9201
442,5384,89,9363
443,4685,88,9254
444,4802,88,9231
445,4943,89,9308
446,4790,89,9287
447,5140,89,9371
448,5022,90,9470
449,5140,90,9407
450,5558,90,9471
451,5163,91,9496
452,5063,91,9542
453,4806,91,9587
454,5245,92,9588
455,4779,92,9598
456,4328,92,9657
457,5269,93,9763
458,4684,93,9760
459,5884,93,9776
460,4987,94,9842
461,4580,94,9800
462,4587,94,9833
463,4859,94,9854
464,5329,94,9844
465,5923,93,9774
466,5357,94,9846
467,5375,93,9726
468,4637,92,9675
469,5543,93,9688
470,4636,92,9631
471,4739,92,9673
472,5735,92,9609
473,6142,91,9531
474,4624,91,9525
475,4135,91,9532
476,4430,91,9535
477,4288,90,9425
478,4297,90,9445
479,4693,90,9439
480,4114,89,9310
481,4320,90,9473
482,4180,89,9342
483,4184,88,9208
484,4218,89,9353
485,4182,88,9261
486,4383,88,9205
487,4190,88,9211
488,4189,88,9251
489,4139,87,9080
490,4989,87,9100
491,4021,87,9135
492,4190,86,9048
493,4100,87,9076
494,4326,86,9055
495,4087,85,8962
496,4304,86,9056
497,4121,85,8957
498,3974,85,8903
499,4322,85,8956
500,4017,85,8959
501,4217,84,8799
502,4048,85,8954
503,3950,84,8822
504,4168,83,8716
505,3978,84,8838
506,3972,83,8751
507,3862,83,8687
508,4121,83,8741
509,4019,83,8751
510,3863,83,8711
511,4073,84,8814
512,3884,84,8818
513,4204,84,8860
514,4738,85,8950
515,4444,85,8885
516,4025,85,8949
517,4404,86,9053
518,4135,85,8905
519,3867,85,8956
520,4024,86,9029
521,3962,86,9046
522,3953,86,9034
523,3940,87,9135
524,3961,87,9166
525,4018,87,9114
526,4295,88,9267
